city_ar,district_ar,property_type_ar,growth_pct,growth_source,growth_confidence,yoy_growth_last_year_pct,yoy_volatility_3y,last_year
الخبر,الحزام الأخضر,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,الحزام الاخضر,قطعة أرض-سكنى,-25.99,district,high,-25.99,0.0,2022.0
الخبر,الحزام الذهبي,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,الحمراء,قطعة أرض-سكنى,3.31,district,high,3.31,0.0,2026.0
الخبر,الخبر,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,الخبر الجنوبية,قطعة أرض-سكنى,35.14,district,high,108.5,69.86,2025.0
الخبر,الخبر الشمالية,قطعة أرض-سكنى,33.19,district,high,50.56,34.58,2025.0
الخبر,الخبر/ اشبيليا,قطعة أرض-تجارى,-54.8,district,high,-54.8,0.0,2026.0
الخبر,الخبر/ اشبيليا,قطعة أرض-سكنى,26.64,district,high,26.64,0.0,2026.0
الخبر,الخبر/ الأندلس,قطعة أرض-تجارى,9.34,district,high,9.34,0.0,2026.0
الخبر,الخبر/ الأندلس,قطعة أرض-سكنى,-10.39,district,high,-10.39,0.0,2026.0
الخبر,الخبر/ الامواج,قطعة أرض-تجارى,2.27,district,high,2.27,0.0,2026.0
الخبر,الخبر/ الامواج,قطعة أرض-سكنى,0.62,district,high,0.62,0.0,2026.0
الخبر,الخبر/ البحر,قطعة أرض-تجارى,34.31,city,medium,,,
الخبر,الخبر/ البحر,قطعة أرض-سكنى,12.9,district,high,12.9,0.0,2026.0
الخبر,الخبر/ البحيرة,قطعة أرض-تجارى,119.09,district,high,119.09,0.0,2026.0
الخبر,الخبر/ البحيرة,قطعة أرض-سكنى,30.16,district,high,30.16,0.0,2026.0
الخبر,الخبر/ البندرية,قطعة أرض-تجارى,34.31,city,medium,,,
الخبر,الخبر/ البندرية,قطعة أرض-سكنى,-23.05,district,high,-23.05,0.0,2026.0
الخبر,الخبر/ التحلية,قطعة أرض-تجارى,-28.71,district,high,-28.71,0.0,2026.0
الخبر,الخبر/ التحلية,قطعة أرض-سكنى,-59.58,district,high,-59.58,0.0,2026.0
الخبر,الخبر/ الثقبة,قطعة أرض-تجارى,-6.57,district,high,-6.57,0.0,2026.0
الخبر,الخبر/ الثقبة,قطعة أرض-سكنى,3.85,district,high,3.85,0.0,2026.0
الخبر,الخبر/ الجسر,قطعة أرض-تجارى,-31.69,district,high,-31.69,0.0,2026.0
الخبر,الخبر/ الجسر,قطعة أرض-سكنى,-31.4,district,high,-31.4,0.0,2026.0
الخبر,الخبر/ الجوهرة,قطعة أرض-سكنى,12.85,city,medium,,,
الخبر,الخبر/ الحزام الذهبي,قطعة أرض-سكنى,-28.2,district,high,-28.2,0.0,2026.0
الخبر,الخبر/ الحمراء,قطعة أرض-تجارى,4.72,district,high,4.72,0.0,2026.0
الخبر,الخبر/ الحمراء,قطعة أرض-سكنى,2.89,district,high,2.89,0.0,2026.0
الخبر,الخبر/ الخبر الجنوبية,قطعة أرض-تجارى,46.39,district,high,46.39,0.0,2026.0
الخبر,الخبر/ الخبر الجنوبية,قطعة أرض-سكنى,68.8,district,high,68.8,0.0,2026.0
الخبر,الخبر/ الخبر الشمالية,قطعة أرض-سكنى,-29.08,district,high,-29.08,0.0,2026.0
الخبر,الخبر/ الخبر الغربية,قطعة أرض-تجارى,-12.19,district,high,-12.19,0.0,2026.0
الخبر,الخبر/ الخبر الغربية,قطعة أرض-سكنى,12.18,district,high,12.18,0.0,2026.0
